seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	57103317	57103345	29	*	X0700	6749	57093459	57103351	9893	-	0	inside	5	SSRP1
chr11	57226543	57226647	105	*	X0702	349667	57228339	57244384	16046	+	1691	upstream	1691	RTN4RL2
chr11	57227668	57227772	105	*	X0703	349667	57228339	57244384	16046	+	566	upstream	566	RTN4RL2
chr11	57227818	57228057	240	*	X0704	349667	57228339	57244384	16046	+	281	upstream	281	RTN4RL2
chr11	57228433	57228552	120	*	X0705	349667	57228339	57244384	16046	+	0	inside	93	RTN4RL2
chr11	57228613	57228717	105	*	X0706	349667	57228339	57244384	16046	+	0	inside	273	RTN4RL2
chr11	57417512	57417701	190	*	X0717	219539	57412560	57417417	4858	-	94	upstream	94	YPEL4
chr11	59436303	59436314	12	*	X0721	219988	59404192	59436511	32320	-	0	inside	196	PATL1
chr11	59578020	59578082	63	*	X0722	54948	59573608	59578345	4738	-	0	inside	262	MRPL16
chr11	61062799	61062903	105	*	X0726	220001	61025758	61062788	37031	-	10	upstream	10	VWCE
chr11	61659602	61659706	105	*	X0736	3995	61640998	61659006	18009	-	595	upstream	595	FADS3
chr11	62314311	62314535	225	*	X0744	79026	62201014	62314332	113319	-	0	overlapStart	0	AHNAK
chr11	62380041	62380115	75	*	X0746	256364	62369691	62380237	10547	-	0	inside	121	EML3
chr11	62380041	62380115	75	*	X0746	6094	62380213	62382592	2380	+	97	upstream	97	ROM1
chr11	62528875	62529019	145	*	X0749	5436	62529011	62534187	5177	+	0	overlapStart	0	POLR2G
chr11	63258416	63258483	68	*	X0758	117245	63228876	63258680	29805	-	0	inside	196	PLAAT5
chr11	63535739	63535858	120	*	X0766	65998	63527364	63536113	8750	-	0	inside	254	C11orf95
chr11	63536339	63536473	135	*	X0767	65998	63527364	63536113	8750	-	225	upstream	225	C11orf95
chr11	63537809	63537898	90	*	X0768	65998	63527364	63536113	8750	-	1695	upstream	1695	C11orf95
chr11	63604679	63604757	79	*	X0772	2011	63606400	63678492	72093	+	1642	upstream	1642	MARK2
chr11	63706421	63706495	75	*	X0773	79829	63706442	63724446	18005	+	0	overlapStart	0	NAA40
chr11	63953740	63953765	26	*	X0777	10963	63953587	63972020	18434	+	0	inside	152	STIP1
chr11	64491313	64491316	4	*	X0793	9379	64373646	64490660	117015	-	652	upstream	652	NRXN2
chr11	64546259	64546385	127	*	X0796	7536	64532076	64546316	14241	-	0	overlapStart	0	SF1
chr11	64570739	64570815	77	*	X0797	5871	64556609	64570713	14105	-	25	upstream	25	MAP4K2
chr11	64781056	64781190	135	*	X0800	100528018	64781585	64808044	26460	+	394	upstream	394	ARL2-SNX15
chr11	64781056	64781190	135	*	X0800	402	64781585	64789657	8073	+	394	upstream	394	ARL2
chr11	64948424	64948483	60	*	X0804	823	64948686	64979477	30792	+	202	upstream	202	CAPN1
chr11	64948724	64948843	120	*	X0805	823	64948686	64979477	30792	+	0	inside	37	CAPN1
chr11	65325960	65326064	105	*	X0809	4054	65306030	65326253	20224	-	0	inside	188	LTBP3
chr11	65327025	65327174	150	*	X0810	4054	65306030	65326253	20224	-	771	upstream	771	LTBP3
chr11	65656039	65656158	120	*	X0815	11007	65657875	65659106	1232	+	1716	upstream	1716	CCDC85B
chr11	65656039	65656158	120	*	X0815	9158	65651211	65656010	4800	-	28	upstream	28	FIBP
chr11	66405581	66405730	150	*	X0819	5936	66406088	66435858	29771	+	357	upstream	357	RBM4
chr11	66886360	66886587	228	*	X0823	22992	66886740	67025550	138811	+	152	upstream	152	KDM2A
chr11	66886618	66886675	58	*	X0824	22992	66886740	67025550	138811	+	64	upstream	64	KDM2A
chr11	67141240	67141509	270	*	X0829	23529	67131639	67141648	10010	-	0	inside	138	CLCF1
chr11	67142125	67142244	120	*	X0830	23529	67131639	67141648	10010	-	476	upstream	476	CLCF1
chr11	67142650	67142653	4	*	X0831	23529	67131639	67141648	10010	-	1001	upstream	1001	CLCF1
chr11	67143280	67143504	225	*	X0832	23529	67131639	67141648	10010	-	1631	upstream	1631	CLCF1
chr11	67188667	67188756	90	*	X0836	5499	67165652	67188654	23003	-	12	upstream	12	PPP1CA
chr11	67205687	67205851	165	*	X0837	5790	67202981	67205153	2173	-	533	upstream	533	PTPRCAP
chr11	67236946	67236975	30	*	X0838	80194	67231819	67236748	4930	-	197	upstream	197	TMEM134
chr11	67572857	67572876	20	*	X0840	645332	67559238	67572807	13570	-	49	upstream	49	FAM86C2P
chr11	73018567	73018616	50	*	X0873	9828	73019663	73080425	60763	+	1046	upstream	1046	ARHGEF17
chr11	75272908	75273181	274	*	X0877	871	75273101	75283849	10749	+	0	overlapStart	0	SERPINH1
chr11	76092024	76092138	115	*	X0888	5612	76061004	76091880	30877	-	143	upstream	143	THAP12
chr11	77185023	77185134	112	*	X0892	5058	77033060	77185108	152049	-	0	overlapStart	0	PAK1
chr11	85566077	85566191	115	*	X0908	220047	85566144	85631051	64908	+	0	overlapStart	0	CCDC83
chr11	96076393	96076497	105	*	X0922	84441	95711440	96076344	364905	-	48	upstream	48	MAML2
chr11	102323950	102323962	13	*	X0925	114908	102267056	102323775	56720	-	174	upstream	174	TMEM123
chr11	102324083	102324187	105	*	X0926	114908	102267056	102323775	56720	-	307	upstream	307	TMEM123
chr11	105947768	105947902	135	*	X0932	60496	105948292	105969419	21128	+	389	upstream	389	AASDHPPT
chr11	108091892	108091996	105	*	X0933	472	108093559	108239826	146268	+	1562	upstream	1562	ATM
chr11	108093581	108093601	21	*	X0934	472	108093559	108239826	146268	+	0	inside	21	ATM
chr11	108093581	108093601	21	*	X0934	4863	108028119	108093365	65247	-	215	upstream	215	NPAT
chr11	108369164	108369268	105	*	X0936	143888	108342833	108369159	26327	-	4	upstream	4	POGLUT3
chr11	108466118	108466207	90	*	X0937	23086	108376158	108464374	88217	-	1743	upstream	1743	EXPH5
chr11	112046078	112046108	31	*	X0942	83875	112046208	112095422	49215	+	99	upstream	99	BCO2
chr11	114310026	114310127	102	*	X0960	25996	114310108	114321000	10893	+	0	overlapStart	0	REXO2
chr11	117186788	117186892	105	*	X0975	23621	117156402	117186972	30571	-	0	inside	79	BACE1
chr11	118023514	118023648	135	*	X0981	6330	118004092	118023630	19539	-	0	overlapStart	0	SCN4B
chr11	118213552	118213597	46	*	X0984	915	118209789	118213459	3671	-	92	upstream	92	CD3D
chr11	118213552	118213597	46	*	X0984	917	118215059	118224497	9439	+	1461	upstream	1461	CD3G
chr11	118662496	118662685	190	*	X0994	1656	118618473	118661972	43500	-	523	upstream	523	DDX6
chr11	119018618	119018842	225	*	X1000	64137	119019750	119033374	13625	+	907	upstream	907	ABCG4
chr11	119039438	119039547	110	*	X1003	79671	119039437	119054725	15289	+	0	inside	0	NLRX1
chr11	119599377	119599511	135	*	X1023	5818	119508808	119599435	90628	-	0	overlapStart	0	NECTIN1
chr11	119601252	119601476	225	*	X1024	5818	119508808	119599435	90628	-	1816	upstream	1816	NECTIN1
chr11	120081739	120081746	8	*	X1033	220323	120081747	120100650	18904	+	0	upstream	0	OAF
chr11	122018641	122018745	105	*	X1056	406882	122017230	122017301	72	-	1339	upstream	1339	MIRLET7A2
chr11	122933380	122933428	49	*	X1062	3312	122928200	122933186	4987	-	193	upstream	193	HSPA8
chr11	125932959	125933033	75	*	X1090	50937	125826713	125933187	106475	-	0	inside	153	CDON
chr11	130318070	130318195	126	*	X1114	170689	130318869	130346539	27671	+	673	upstream	673	ADAMTS15
chr11	134283753	134283842	90	*	X1138	27087	134248398	134281812	33415	-	1940	upstream	1940	B3GAT1
chr12	259687	259881	195	*	X1143	574538	246577	258332	11756	-	1354	upstream	1354	LOC574538
chr12	3186805	3187104	300	*	X1175	10867	3186521	3395730	209210	+	0	inside	283	TSPAN9
chr12	4381922	4382011	90	*	X1191	894	4382902	4414522	31621	+	890	upstream	890	CCND2
chr12	4382687	4382956	270	*	X1192	894	4382902	4414522	31621	+	0	overlapStart	0	CCND2
chr12	6308550	6308699	150	*	X1220	928	6309482	6347437	37956	+	782	upstream	782	CD9
chr12	6308760	6308879	120	*	X1221	928	6309482	6347437	37956	+	602	upstream	602	CD9
chr12	6561624	6561706	83	*	X1223	678655	6548167	6560683	12517	-	940	upstream	940	CD27-AS1
chr12	6665311	6665348	38	*	X1224	25900	6647539	6665249	17711	-	61	upstream	61	IFFO1
chr12	6798924	6798998	75	*	X1225	171017	6775643	6798738	23096	-	185	upstream	185	ZNF384
chr12	6873680	6873934	255	*	X1230	5763	6875541	6880118	4578	+	1606	upstream	1606	PTMS
chr12	6876855	6876919	65	*	X1231	8079	6857158	6876641	19484	-	213	upstream	213	MLF2
chr12	6878465	6878599	135	*	X1232	8079	6857158	6876641	19484	-	1823	upstream	1823	MLF2
chr12	6930959	6931024	66	*	X1235	27239	6930963	6939175	8213	+	0	overlapStart	0	GPR162
chr12	6936065	6936154	90	*	X1237	10536	6937572	6949018	11447	+	1417	upstream	1417	P3H3
chr12	6936995	6937034	40	*	X1238	10536	6937572	6949018	11447	+	537	upstream	537	P3H3
chr12	7126164	7126184	21	*	X1243	10162	7085347	7125842	40496	-	321	upstream	321	LPCAT3
chr12	7126200	7126334	135	*	X1244	10162	7085347	7125842	40496	-	357	upstream	357	LPCAT3
chr12	10875952	10876071	120	*	X1253	8531	10851676	10875953	24278	-	0	overlapStart	0	YBX3
chr12	12502954	12502992	39	*	X1256	54682	12482218	12503169	20952	-	0	inside	176	MANSC1
chr12	12715222	12715356	135	*	X1257	80824	12626216	12715448	89233	-	0	inside	91	DUSP16
chr12	12715372	12715492	121	*	X1258	80824	12626216	12715448	89233	-	0	overlapStart	0	DUSP16
chr12	12877872	12877969	98	*	X1259	51202	12878851	12982915	104065	+	881	upstream	881	DDX47
chr12	12877872	12877969	98	*	X1259	81575	12878851	12944399	65549	+	881	upstream	881	APOLD1
chr12	19592656	19592680	25	*	X1272	121536	19592608	19675173	82566	+	0	inside	47	AEBP2
chr12	19592786	19592845	60	*	X1273	121536	19592608	19675173	82566	+	0	inside	177	AEBP2
chr12	25404175	25404189	15	*	X1276	3845	25358180	25403863	45684	-	311	upstream	311	KRAS
chr12	26278041	26278057	17	*	X1281	79365	26272959	26278003	5045	-	37	upstream	37	BHLHE41
chr12	26278236	26278340	105	*	X1282	79365	26272959	26278003	5045	-	232	upstream	232	BHLHE41
chr12	26278701	26278850	150	*	X1283	79365	26272959	26278003	5045	-	697	upstream	697	BHLHE41
chr12	26986256	26986447	192	*	X1286	3709	26488285	26986131	497847	-	124	upstream	124	ITPR2
chr12	31744139	31744278	140	*	X1295	160518	31535157	31743952	208796	-	186	upstream	186	DENND5B
chr12	45610253	45610387	135	*	X1299	51054	45566817	45609789	42973	-	463	upstream	463	PLEKHA8P1
chr12	48213884	48213897	14	*	X1307	51564	48176507	48213763	37257	-	120	upstream	120	HDAC7
chr12	49372023	49372061	39	*	X1323	7471	49372236	49376396	4161	+	174	upstream	174	WNT1
chr12	49414043	49414074	32	*	X1326	5571	49396055	49412629	16575	-	1413	upstream	1413	PRKAG1
chr12	49504666	49504726	61	*	X1328	55716	49490923	49504680	13758	-	0	overlapStart	0	LMBR1L
chr12	49687706	49687825	120	*	X1330	5630	49688909	49692481	3573	+	1083	upstream	1083	PRPH
chr12	49932618	49932707	90	*	X1332	23416	49932940	49952077	19138	+	232	upstream	232	KCNH3
chr12	50017409	50017546	138	*	X1333	25766	50017197	50038452	21256	+	0	inside	211	PRPF40B
chr12	51611923	51611982	60	*	X1344	5463	51580719	51611477	30759	-	445	upstream	445	POU6F1
chr12	51664204	51664293	90	*	X1345	57228	51639133	51664202	25070	-	1	upstream	1	SMAGP
chr12	51664339	51664450	112	*	X1346	57228	51639133	51664202	25070	-	136	upstream	136	SMAGP
chr12	51984791	51984805	15	*	X1348	6334	51985020	52206648	221629	+	214	upstream	214	SCN8A
chr12	52343942	52344016	75	*	X1349	91	52345451	52390863	45413	+	1434	upstream	1434	ACVR1B
chr12	52345142	52345218	77	*	X1350	91	52345451	52390863	45413	+	232	upstream	232	ACVR1B
chr12	53440907	53440932	26	*	X1372	23371	53440810	53458162	17353	+	0	inside	96	TNS2
chr12	53490317	53490466	150	*	X1374	3489	53491436	53496128	4693	+	969	upstream	969	IGFBP6
chr12	53490542	53490661	120	*	X1375	3489	53491436	53496128	4693	+	774	upstream	774	IGFBP6
chr12	53574682	53574705	24	*	X1379	283337	53574535	53584654	10120	+	0	inside	146	ZNF740
chr12	53601082	53601108	27	*	X1381	3695	53585107	53601000	15894	-	81	upstream	81	ITGB7
chr12	53729728	53729877	150	*	X1385	121340	53720360	53730004	9645	-	0	inside	126	SP7
chr12	53730208	53730327	120	*	X1386	121340	53720360	53730004	9645	-	203	upstream	203	SP7
chr12	53731888	53732022	135	*	X1387	121340	53720360	53730004	9645	-	1883	upstream	1883	SP7
chr12	53895017	53895079	63	*	X1389	7786	53874276	53893444	19169	-	1572	upstream	1572	MAP3K12
chr12	54334536	54334639	104	*	X1412	100874366	54329112	54333427	4316	-	1108	upstream	1108	HOXC13-AS
chr12	54348321	54348323	3	*	X1415	3228	54348714	54350350	1637	+	390	upstream	390	HOXC12
chr12	54383450	54383554	105	*	X1420	406973	54385522	54385631	110	+	1967	upstream	1967	MIR196A2
chr12	54401030	54401130	101	*	X1431	3224	54402890	54406545	3656	+	1759	upstream	1759	HOXC8
chr12	54410803	54410821	19	*	X1432	3221	54410642	54449814	39173	+	0	inside	160	HOXC4
chr12	54410803	54410821	19	*	X1432	3222	54410642	54429144	18503	+	0	inside	160	HOXC5
chr12	54410803	54410821	19	*	X1432	3223	54410642	54424607	13966	+	0	inside	160	HOXC6
chr12	54813147	54813157	11	*	X1450	3678	54789045	54813050	24006	-	96	upstream	96	ITGA5
chr12	56074956	56074985	30	*	X1470	196410	56075330	56078394	3065	+	344	upstream	344	METTL7B
chr12	56435459	56435567	109	*	X1479	6231	56435686	56438007	2322	+	118	upstream	118	RPS26
chr12	56616143	56616247	105	*	X1486	10193	56596288	56615753	19466	-	389	upstream	389	RNF41
chr12	56616143	56616247	105	*	X1486	79035	56618125	56623638	5514	+	1877	upstream	1877	NABP2
chr12	56618213	56618332	120	*	X1487	79035	56618125	56623638	5514	+	0	inside	87	NABP2
chr12	56882023	56882040	18	*	X1488	27165	56864736	56882181	17446	-	0	inside	140	GLS2
chr12	57030427	57030476	50	*	X1490	11176	56989380	57030163	40784	-	263	upstream	263	BAZ2A
chr12	57521515	57521634	120	*	X1496	4035	57522282	57607125	84844	+	647	upstream	647	LRP1
chr12	57523561	57523665	105	*	X1497	6778	57489187	57522883	33697	-	677	upstream	677	STAT6
chr12	57914610	57914760	151	*	X1503	114785	57916659	57923931	7273	+	1898	upstream	1898	MBD6
chr12	57914610	57914760	151	*	X1503	1649	57910371	57914300	3930	-	309	upstream	309	DDIT3
chr12	58176375	58176479	105	*	X1508	10102	58176528	58196639	20112	+	48	upstream	48	TSFM
chr12	58335738	58335902	165	*	X1514	91419	58335445	58351052	15608	+	0	inside	292	ATP23
chr12	59990011	59990100	90	*	X1515	9194	59989821	60183635	193815	+	0	inside	189	SLC16A7
chr12	65515223	65515314	92	*	X1523	11197	65444404	65515346	70943	-	0	inside	31	WIF1
chr12	65515375	65515464	90	*	X1524	11197	65444404	65515346	70943	-	28	upstream	28	WIF1
chr12	65671668	65671787	120	*	X1525	253827	65672423	65860687	188265	+	635	upstream	635	MSRB3
chr12	65672268	65672387	120	*	X1526	253827	65672423	65860687	188265	+	35	upstream	35	MSRB3
chr12	68041620	68041739	120	*	X1529	8445	68042512	68056444	13933	+	772	upstream	772	DYRK2
chr12	68042613	68042755	143	*	X1530	8445	68042512	68056444	13933	+	0	inside	100	DYRK2
chr12	70759045	70759179	135	*	X1534	27345	70760062	70828072	68011	+	882	upstream	882	KCNMB4
chr12	72148942	72149028	87	*	X1536	23011	72148658	72181150	32493	+	0	inside	283	RAB21
chr12	82752593	82752697	105	*	X1538	29080	82746083	82752584	6502	-	8	upstream	8	CCDC59
chr12	82752713	82752836	124	*	X1539	29080	82746083	82752584	6502	-	128	upstream	128	CCDC59
chr12	93322966	93323026	61	*	X1543	8411	93166285	93323107	156823	-	0	inside	80	EEA1
chr12	94541267	94541356	90	*	X1547	10154	94542499	94701451	158953	+	1142	upstream	1142	PLXNC1
chr12	95467396	95467515	120	*	X1550	7181	95414005	95467404	53400	-	0	overlapStart	0	NR2C1
